iter	Passed	Remaining
0	22	11424
1	40	10127
2	66	11012
3	86	10691
4	105	10416
5	122	10100
6	142	10036
7	167	10272
8	189	10323
9	207	10176
10	226	10083
11	247	10077
12	273	10255
13	298	10369
14	325	10509
15	345	10449
16	368	10473
17	392	10506
18	415	10526
19	438	10522
20	459	10481
21	485	10559
22	503	10450
23	523	10387
24	545	10362
25	568	10368
26	595	10424
27	615	10368
28	635	10314
29	657	10306
30	679	10286
31	701	10255
32	728	10309
33	749	10268
34	770	10240
35	788	10159
36	807	10106
37	825	10038
38	854	10102
39	879	10119
40	904	10120
41	926	10099
42	949	10092
43	974	10101
44	1000	10115
45	1020	10074
46	1042	10051
47	1067	10052
48	1091	10048
49	1110	9993
50	1133	9975
51	1159	9988
52	1183	9978
53	1206	9964
54	1229	9951
55	1250	9913
56	1277	9930
57	1303	9935
58	1323	9892
59	1346	9875
60	1371	9870
61	1397	9869
62	1418	9841
63	1440	9810
64	1463	9791
65	1484	9759
66	1505	9727
67	1526	9697
68	1551	9689
69	1573	9665
70	1592	9624
71	1614	9595
72	1634	9561
73	1661	9562
74	1685	9552
75	1705	9515
76	1728	9496
77	1753	9486
78	1772	9444
79	1790	9402
80	1814	9383
81	1834	9350
82	1852	9304
83	1875	9285
84	1897	9265
85	1927	9279
86	1950	9260
87	1972	9234
88	2000	9236
89	2025	9228
90	2045	9193
91	2064	9157
92	2088	9138
93	2110	9115
94	2130	9082
95	2151	9054
96	2172	9025
97	2196	9011
98	2215	8972
99	2237	8950
100	2258	8923
101	2277	8885
102	2297	8857
103	2319	8833
104	2341	8810
105	2367	8801
106	2390	8780
107	2411	8754
108	2431	8721
109	2450	8688
110	2468	8650
111	2495	8644
112	2513	8609
113	2536	8588
114	2559	8568
115	2584	8556
116	2606	8532
117	2624	8496
118	2649	8481
119	2666	8444
120	2689	8422
121	2712	8405
122	2739	8396
123	2766	8388
124	2787	8363
125	2811	8345
126	2831	8317
127	2852	8291
128	2874	8266
129	2892	8232
130	2914	8209
131	2934	8182
132	2958	8163
133	2979	8138
134	3001	8115
